ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
11,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses,NA,5,2,"Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United Kingdom of Great Britain and Northern Ireland,"GBP	Pound sterling",48000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;Go;JavaScript,Microsoft SQL Server,Microsoft SQL Server,AWS;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ;Vue.js,ASP.NET;ASP.NET Core ;Blazor,.NET,NA,Docker;npm;Terraform,Docker;Terraform,Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Linux-based,Git,Code editor;Command-line,,,Confluence,NA,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack,Unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,60307
12,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Written Tutorials;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial",NA,12,10,Engineering manager,20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",194400,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,C++;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,Couchbase;CouchDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;Redis;SQLite,AWS;Microsoft Azure,AWS;DigitalOcean;Firebase;Linode,ASP.NET;ASP.NET Core ;Express;Node.js;Vue.js,ASP.NET Core ;Node.js;Nuxt.js;React.js;Vue.js,.NET;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes;Pulumi;Terraform,IPython/Jupyter;Neovim;Visual Studio;Visual Studio Code,IPython/Jupyter;Neovim;Visual Studio Code,Linux-based;macOS;Windows,Linux-based;macOS,Git,Code editor;Dedicated version control GUI application,,,Confluence;Jira Work Management;Notion;Trello,Notion;Trello,Cisco Webex Teams;Google Chat;Microsoft Teams;RingCentral;Slack;Zoom,Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Yes,People manager,14,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,10+ times a week,10+ times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,No,Too short,Easy,194400
13,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",NA,NA,12,5,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",65000,Yearly,C;HTML/CSS;Rust;SQL;Swift;TypeScript,Haskell;HTML/CSS;Rust;Swift,PostgreSQL,Elasticsearch;Redis,AWS,AWS,React.js,React.js,Torch/PyTorch,Torch/PyTorch,Docker,Docker,Vim;Visual Studio,Vim;Visual Studio,macOS,Linux-based,Git,Code editor;Command-line,,,Jira Work Management;Trello,Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,NA,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Never,Never,Never,30-60 minutes a day,Less than 15 minutes a day,Somewhat short,DevOps function;Microservices,Yes,No,Yes,Appropriate in length,Easy,65000
14,I am a developer by profession,"Employed, part-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,22,15,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,Australia,"AUD	Australian dollar",NA,NA,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,DynamoDB;PostgreSQL,PostgreSQL,AWS;Heroku,NA,jQuery;Next.js;Node.js;Phoenix;React.js;Ruby on Rails,Phoenix;React.js;Ruby on Rails;Svelte,NA,NA,Docker;Homebrew;npm;Yarn,Docker;Yarn,Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Command-line,,,Airtable;Confluence;Jira Work Management;Notion;Trello,Notion,Microsoft Teams;Slack;Zoom,Slack;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",35-44 years old,Woman,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,15,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Very short,Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,No,No,Too short,Easy,NA
15,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Coding sessions (live or recorded),NA,11,5,"Developer, full-stack;Academic researcher;DevOps specialist","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",110000,Yearly,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,HTML/CSS;JavaScript;Python;Scala,Elasticsearch;MongoDB;Neo4j;PostgreSQL,Elasticsearch;MongoDB;Neo4j;PostgreSQL,AWS;DigitalOcean;Heroku,AWS,Django;Flask;jQuery;Node.js;Ruby on Rails;Vue.js,Django;FastAPI;React.js;Vue.js,Apache Kafka;Apache Spark;NumPy;Pandas;Tidyverse,Pandas,Docker;npm;Yarn,Docker;npm;Yarn,IPython/Jupyter;Nano;RStudio;Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Asana;Jira Work Management;Trello,Asana;Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Easy,110000
16,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media,NA,NA,4,4,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial,Russian Federation,"RUB	Russian ruble",NA,Weekly,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell;HTML/CSS;SQL;TypeScript,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database;SQLite,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database;SQLite,AWS;Firebase;Google Cloud;Heroku,AWS;Firebase;Google Cloud;Heroku,Express;jQuery;Node.js;Vue.js,Express;Node.js;Vue.js,NA,NA,npm,npm,Notepad++;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Trello,Trello,NA,NA,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,NA,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither easy nor difficult,NA
17,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),Udemy;Codecademy,7,4,"Developer, full-stack",2 to 9 employees,I have some influence,Start a free trial;Research companies that have advertised on sites I visit,Czech Republic,"CZK	Czech koruna",37000,Monthly,C#;Java;PHP;Python;R,JavaScript;Kotlin;PowerShell;SQL;TypeScript;VBA,Elasticsearch;MySQL,MariaDB;MongoDB;MySQL;PostgreSQL,Google Cloud;VMware,AWS,Angular;Laravel;Node.js;React.js;Vue.js,Angular;Next.js;Node.js;Nuxt.js;React.js;Symfony;Vue.js,Electron;React Native,Electron,Docker;npm,Docker;npm,IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Notepad++,Windows,Windows,Git,Command-line;Dedicated version control GUI application,,,Jira Work Management;Trello,Jira Work Management,Microsoft Teams;Slack,Microsoft Teams;Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Bisexual,European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,19224
18,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos,Coursera;Pluralsight,13,10,"Engineer, data","1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,Austria,EUR European Euro,190000,Yearly,Python;SQL,Python;SQL,Cassandra;PostgreSQL,Cassandra;PostgreSQL,AWS;Google Cloud,AWS;Google Cloud,NA,NA,NA,NA,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes;Terraform,Visual Studio Code,PyCharm;Visual Studio Code,macOS,Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,NA,NA,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Woman,No,Straight / Heterosexual,European,None of the above,None of the above,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,202623
19,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",NA,NA,36,22,"Developer, back-end;Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Austria,EUR European Euro,4000,Monthly,C#;PowerShell;SQL,C#;F#;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,NA,NA,NA,NA,.NET,.NET,NA,NA,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Mercurial;SVN,Code editor;Command-line;Dedicated version control GUI application,,,NA,NA,Microsoft Teams;Zoom,Microsoft Teams,Unsure,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",45-54 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,51192
20,I am learning to code,"Student, full-time",NA,NA,Some college/university study without earning a degree,Books / Physical media;Coding Bootcamp;Colleague,NA,NA,2,NA,NA,NA,NA,Visit developer communities like Stack Overflow;Ask developers I know/work with,Serbia,NA,NA,NA,C++;HTML/CSS;Java;JavaScript;Python,HTML/CSS;Python;SQL,MySQL,MySQL,NA,NA,NA,NA,Keras;NumPy;Pandas;Scikit-learn;Spring;TensorFlow,Keras;NumPy;Pandas;Scikit-learn;TensorFlow,NA,NA,IntelliJ;Visual Studio Code,Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Code editor;Command-line,,,NA,NA,NA,NA,Indifferent,Stack Overflow,Daily or almost daily,No,NA,"No, not really",18-24 years old,Man,No,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
21,I am a developer by profession,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses,NA,1,NA,Student,NA,NA,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Austria,NA,NA,NA,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MariaDB,MariaDB,Firebase,NA,Node.js,Node.js,NA,NA,Docker;npm,npm,Eclipse;IntelliJ;Notepad++;Vim;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;Visual Studio Code,Linux-based;macOS,Windows,Git,Code editor;Command-line,,,Notion,Notion,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Bisexual;Straight / Heterosexual,White;European,I am deaf / hard of hearing,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
22,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,NA,NA,5,4,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial,Italy,EUR European Euro,32000,Yearly,Python;SQL;TypeScript,Elixir;Julia;Kotlin;Python;Rust;Scala;SQL;TypeScript,MySQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Google Cloud;OVH;VMware,Google Cloud;OVH;VMware,Angular;FastAPI;Vue.js,FastAPI;Next.js;Nuxt.js;Vue.js,NumPy;Pandas,NumPy;Pandas,Docker;Kubernetes,Docker;Kubernetes,Neovim;Sublime Text;Visual Studio Code,Neovim;Sublime Text;Visual Studio Code,Windows Subsystem for Linux (WSL),macOS,Git,Command-line;Version control hosting service web GUI,,,Confluence;Notion,Confluence,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,4,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,1-2 times a week,6-10 times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Somewhat long,None of these,Yes,No,No,Appropriate in length,Easy,34126
23,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,Something else,Books / Physical media,NA,NA,25,20,"Developer, back-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with,Canada,"CAD	Canadian dollar",125000,Yearly,C#;SQL;TypeScript,C#;SQL,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL,Google Cloud;Microsoft Azure,NA,Angular;ASP.NET Core ;React.js,ASP.NET Core ,.NET,.NET,Docker;Kubernetes;npm;Terraform;Yarn,Docker,Rider;Visual Studio;Visual Studio Code,Visual Studio,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence,NA,Google Chat;Microsoft Teams;Slack,Slack,Very unfavorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Yes,Independent contributor,23,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,No,No,No,Too long,Neither easy nor difficult,97605
24,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);Colleague;Other (please specify):",Blogs;Written Tutorials;Stack Overflow;Written-based Online Courses,NA,10,6,Other (please specify):,20 to 99 employees,I have a great deal of influence,Other (please specify):;Start a free trial;Research companies that have advertised on sites I visit,Netherlands,EUR European Euro,NA,NA,VBA,SQL;VBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notepad++,NA,macOS;Windows,Other (please specify):,I don't use one,NA,,,Jira Work Management,NA,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
25,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,Some college/university study without earning a degree,NA,NA,NA,40,40,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial,Israel,"ILS	Israeli new shekel",NA,NA,C#;C++;JavaScript;PHP;TypeScript,C++;JavaScript;PHP;TypeScript,NA,NA,AWS,AWS,NA,NA,NA,NA,NA,NA,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,I don't use one,NA,,,NA,NA,NA,NA,Unsure,Stack Overflow,Less than once per month or monthly,No,NA,"No, not at all",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too short,Easy,NA
26,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Coding sessions (live or recorded),Coursera;Udemy;Codecademy;edX;Udacity,16,9,"Developer, back-end;Developer, mobile",20 to 99 employees,I have some influence,Ask developers I know/work with,Germany,EUR European Euro,85000,Yearly,Dart;Go;Java;Kotlin;Swift;TypeScript,C#;Dart;Java;Kotlin;Swift;TypeScript,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;Microsoft Azure,AWS;Microsoft Azure,Express;Gatsby;Node.js,Express;Node.js,Apache Kafka;Flutter,Apache Kafka;Flutter,Kubernetes;npm;Terraform,Kubernetes;npm;Terraform,Android Studio;IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,Confluence,NA,Microsoft Teams;Slack,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Yes,Independent contributor,9,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Somewhat short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,No,Yes,Appropriate in length,Neither easy nor difficult,90647
27,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Stack Overflow;Online forum,NA,10,5,"Developer, full-stack;Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial,United States of America,"USD	United States dollar",106960,Yearly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python,MongoDB;MySQL,MongoDB,AWS,AWS,jQuery,jQuery;React.js,NA,NA,NA,NA,Atom;IntelliJ;Vim,Atom;IntelliJ;Vim,macOS,macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,NA,NA,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,106960
28,I am a developer by profession,"Not employed, and not looking for work",NA,NA,Something else,"Other online resources (e.g., videos, blogs, forum)",Technical documentation;Written Tutorials;Stack Overflow;Online books;How-to videos,NA,4,NA,NA,NA,NA,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Israel,NA,NA,NA,C#;HTML/CSS;JavaScript;Rust;TypeScript,HTML/CSS;Rust;TypeScript,Microsoft SQL Server;PostgreSQL,PostgreSQL;Firebase Realtime Database,Microsoft Azure,NA,ASP.NET Core ;React.js,React.js,.NET,NA,Docker;npm;Yarn,NA,Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Asana;Jira Work Management,Asana,Microsoft Teams,Microsoft Teams,Very favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Gay or Lesbian,White;European;Middle Eastern;Ethnoreligious group,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
29,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,20,14,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","10,000 or more employees",I have little or no influence,Other (please specify):;Ask developers I know/work with,United States of America,"USD	United States dollar",130000,Yearly,C;C++,C++,NA,NA,NA,NA,NA,NA,Qt,NA,NA,NA,Visual Studio,NA,Windows,Linux-based,Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,Jira Work Management,Microsoft Teams,NA,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,14,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,No,Appropriate in length,Easy,130000
